test_code,sex,intra_patient_std_mean,intra_patient_std_median
PROPAT,M,1.6844770047208464,0.6315933774939507
PROPAT,F,1.7290579061112856,0.5976717160998056
PROINR,ALL,0.1936760639117321,0.0707106781186547
PROINR,M,0.1966472502975575,0.0707106781186547
PROINR,F,0.1896773362039701,0.0666666666666666
HSCRP,ALL,5.942120786354756,2.4096198526039165
HSCRP,M,6.808954221786404,2.320811437139759
HSCRP,F,5.439659964702768,2.4706511191687364
LD,ALL,35.28471231117466,22.8844925659277
LD,M,34.29201370289852,22.600884938426635
LD,F,36.67617071196798,23.17858514699828
MG,ALL,0.1691248218411785,0.1464620151776446
MG,M,0.1689389559336893,0.1473844859566609
MG,F,0.1693521218877285,0.1441153384245783
P,ALL,0.5215908938390065,0.4501322525894125
P,M,0.5277221587932286,0.4489405322180533
P,F,0.5139151763600839,0.4510789271524927
FER,ALL,81.97616453597941,25.51456102319828
FER,M,127.8196474112804,39.75502943768748
FER,F,62.26793280432733,21.13764414498456
VITDT,ALL,8.662401640214048,7.491728772155712
VITDT,M,8.45655034819511,7.367066354164775
VITDT,F,8.762692886655376,7.552019597432199
A1C,ALL,0.6093753940043873,0.3854496446637726
A1C,M,0.6336343307618607,0.4111540089159038
A1C,F,0.5806900954352743,0.3582364210034109
ALK,ALL,11.611369571502149,8.50026737547387
ALK,M,11.190317715283458,7.905694150420947
ALK,F,11.998442066399344,9.086620200419222
LDL,ALL,14.614642447658502,12.911235417263525
LDL,M,12.892645362925563,11.445361813451544
LDL,F,18.058636617124368,17.626684316683043
,ALL,1.7011677750854513,1.5979898086569384
,M,1.685694928000362,1.5811388300841898
,F,1.7153253506101551,1.609268029180849
