test_code,sex,model,log_lambda_,min_mu,max_mu,min_sigma,max_sigma
MCHC,M,bayesian,1.4979950193142129,25.750000000000007,42.949999999999996,0.001,1.0969387755102034
MCV,ALL,bayesian,1.24020770429668,55.5,123.5,0.001,4.336734693877551
MCV,F,bayesian,1.5109684410388364,55.5,123.5,0.001,4.336734693877551
MCV,M,bayesian,1.4962457553529669,55.5,123.5,0.001,4.336734693877551
MG,ALL,bayesian,0.8912169546378358,0.9000000000000004,3.3,0.001,0.1530612244897959
MG,F,bayesian,0.8817274444425673,0.9000000000000004,3.3,0.001,0.1530612244897959
MG,M,bayesian,1.4036166165431507,0.9000000000000004,3.3,0.001,0.1530612244897959
MONOC,ALL,bayesian,-3.0,0.001,2.0,0.001,0.20408163265306123
MONOC,F,bayesian,-2.8039719763100788,0.001,2.0,0.001,0.20408163265306123
MONOC,M,bayesian,-3.0,0.001,2.0,0.001,0.20408163265306123
NA,ALL,bayesian,-3.0,120.0,160.0,0.001,2.5510204081632653
NA,F,bayesian,-3.0,120.0,160.0,0.001,2.5510204081632653
NA,M,bayesian,-3.0,120.0,160.0,0.001,2.5510204081632653
NONHDL,ALL,bayesian,1.5359830323035317,0.001,475.0,0.001,48.46938775510204
NONHDL,F,bayesian,1.42534931226133,0.001,475.0,0.001,48.46938775510204
NONHDL,M,bayesian,1.639772177642934,0.001,475.0,0.001,48.46938775510204
P,ALL,bayesian,0.5183648712261908,0.001,7.5,0.001,0.5102040816326531
P,F,bayesian,0.3778353436629326,0.001,7.5,0.001,0.5102040816326531
P,M,bayesian,0.8939764400153116,0.001,7.5,0.001,0.5102040816326531
PLT,ALL,bayesian,-2.6763758433396214,0.001,775.0,0.001,63.775510204081634
PLT,F,bayesian,0.21402534358443,0.001,775.0,0.001,63.775510204081634
PLT,M,bayesian,-2.8773206321010014,0.001,775.0,0.001,63.775510204081634
PROINR,ALL,bayesian,-3.0,0.050000000000000044,2.05,0.001,0.12755102040816327
PROINR,F,bayesian,0.3765323050683943,0.050000000000000044,2.05,0.001,0.12755102040816327
PROINR,M,bayesian,-3.0,0.050000000000000044,2.05,0.001,0.12755102040816327
PROPAT,ALL,bayesian,-3.0,3.349999999999998,22.95,0.001,1.2500000000000002
PROPAT,F,bayesian,-0.843832802950243,3.349999999999998,22.95,0.001,1.2500000000000002
PROPAT,M,bayesian,0.6529725428852587,3.349999999999998,22.95,0.001,1.2500000000000002
RBC,ALL,bayesian,0.771026307063645,0.5,9.3,0.001,0.5612244897959184
RBC,F,bayesian,-1.8967536863409329,0.5,9.3,0.001,0.5612244897959184
RBC,M,bayesian,1.138549412002305,2.6000000000000014,7.399999999999999,0.001,0.3061224489795917
RDWCV,ALL,bayesian,-0.853134501566111,3.25,21.25,0.001,1.1479591836734695
RDWCV,F,bayesian,0.6335387843213065,3.25,21.25,0.001,1.1479591836734695
RDWCV,M,bayesian,-0.3945483300647127,3.25,21.25,0.001,1.1479591836734695
TNEUT,ALL,bayesian,-2.2251572435338,0.001,14.8,0.001,1.326530612244898
TNEUT,F,bayesian,-0.059951761471473235,0.001,14.8,0.001,1.326530612244898
TNEUT,M,bayesian,-0.9919976301343049,0.001,14.8,0.001,1.326530612244898
TP,ALL,bayesian,-3.0,2.700000000000001,11.499999999999998,0.001,0.5612244897959182
TP,F,bayesian,-3.0,2.700000000000001,11.499999999999998,0.001,0.5612244897959182
TP,M,bayesian,-3.0,2.700000000000001,11.499999999999998,0.001,0.5612244897959182
TRIG,ALL,bayesian,0.19453683300377086,0.001,437.5,0.001,44.642857142857146
TRIG,F,bayesian,0.6398959712050429,0.001,437.5,0.001,44.642857142857146
TRIG,M,bayesian,0.38601347410913067,0.001,437.5,0.001,44.642857142857146
TSH,ALL,bayesian,-2.998507249258407,0.001,11.899999999999999,0.001,1.173469387755102
TSH,F,bayesian,-3.0,0.001,11.899999999999999,0.001,1.173469387755102
TSH,M,bayesian,-2.887664361897246,0.001,11.899999999999999,0.001,1.173469387755102
VITDT,ALL,bayesian,1.0187596746495091,0.001,94.85,0.001,7.627551020408163
VITDT,F,bayesian,0.9996735539383863,0.001,94.85,0.001,7.627551020408163
VITDT,M,bayesian,1.171270176447478,0.001,94.85,0.001,7.627551020408163
WBC,ALL,bayesian,-2.887278924453321,0.001,18.55,0.001,1.4540816326530612
WBC,F,bayesian,-0.6091094835209738,0.001,18.55,0.001,1.4540816326530612
WBC,M,bayesian,0.17307140642270627,0.001,18.55,0.001,1.4540816326530612
